"DateTime","Final price","2-year low"
"2023-04-23 17:02:19",59.99,59.99
"2023-06-11 17:02:23",29.99,29.99
"2023-06-18 17:02:11",59.99,29.99
"2023-06-29 17:30:13",29.99,29.99
"2023-07-13 17:24:21",59.99,29.99
"2023-08-14 17:22:46",29.99,29.99
"2023-08-21 17:22:40",59.99,29.99
"2023-09-20 17:02:22",35.99,29.99
"2023-09-25 23:15:02",33.11,29.99
"2023-09-26 14:10:02",35.99,29.99
"2023-10-01 17:02:24",59.99,29.99
"2023-10-31 17:02:15",35.99,29.99
"2023-11-05 17:05:02",59.99,29.99
"2023-11-21 18:12:49",29.99,29.99
"2023-11-28 18:29:53",59.99,29.99
"2023-12-05 18:02:12",29.99,29.99
"2023-12-12 18:02:32",59.99,29.99
"2023-12-21 18:10:46",29.99,29.99
"2024-01-04 18:38:52",59.99,29.99
"2024-02-08 18:02:14",29.99,29.99
"2024-02-18 18:02:39",59.99,29.99
"2024-03-14 17:43:53",29.99,29.99
"2024-03-21 17:30:08",59.99,29.99
"2024-03-28 17:02:27",29.99,29.99
"2024-04-07 17:02:07",59.99,29.99
"2024-05-16 17:02:35",29.99,29.99
"2024-05-26 17:02:21",59.99,29.99
"2024-06-27 17:53:09",29.99,29.99
"2024-07-11 17:29:47",59.99,29.99
"2024-08-12 17:23:04",29.99,29.99
"2024-08-19 17:22:59",59.99,29.99
"2024-09-19 17:02:19",29.99,29.99
"2024-09-29 17:02:51",59.99,29.99
"2024-10-29 18:05:02",29.99,29.99
"2024-11-10 18:01:53",59.99,29.99
"2024-11-27 18:25:32",26.99,26.99
"2024-12-04 18:30:02",59.99,26.99
"2024-12-10 18:02:18",26.99,26.99
"2024-12-18 18:02:32",59.99,26.99
"2024-12-19 20:30:22",26.99,26.99
"2025-01-02 19:01:23",59.99,26.99
"2025-01-24 18:01:22",26.99,26.99
"2025-02-02 18:01:22",59.99,26.99
"2025-03-13 17:16:10",23.99,23.99
"2025-03-27 17:01:15",59.99,23.99
"2025-04-21 21:12:50",59.99,23.99
"2025-04-21 21:12:50",,23.99